customer_id,age,gender,income,credit_score,employment_status,education,loan_amount,loan_term_months,account_type,city,account_created,has_default,churn,constant_col,sparse_feature
CUST00031,60,male,31840.935106651235,560,Employed,Bachelor's,29208.08629083401,36,Type_2,Denver,2022-11-30,yes,1,A,
CUST00109,37,Female,39261.25297306683,605,Employed,Some College,4435.325740699349,36,Type_0,Jacksonville,2023-03-10,no,1,A,
CUST00136,28,Female,25754.230517936012,510,Unemployed,Master's,2662.766072153234,12,Type_9,,2020-07-12,no,1,A,
CUST00088,31,Female,107601.00294017946,581,Employed,Bachelor's,2501.7770791540183,12,Type_3,Las Vegas,2023-10-03,no,0,A,
CUST00918,32,male,56930.42330116778,558,Employed,Bachelor's,39704.94044970379,12,Type_11,Philadelphia,2020-12-02,no,0,A,
CUST00235,45,Female,57897.30766707898,580,Employed,Some College,8949.648953201899,36,Type_0,Nashville,2023-02-21,no,0,A,
CUST00870,35,Female,25459.383561067774,595,Employed,High School,2853.2202471393803,24,Type_3,Los Angeles,2020-01-24,no,0,A,
CUST00318,41,Male,24013.05366746503,550,Employed,High School,6801.138497394579,36,Type_10,Austin,2020-09-02,NO,0,A,
CUST00261,37,Female,48748.0174212435,721,Retired,Some College,8746.8616266703,36,Type_1,Las Vegas,2023-10-06,YES,0,A,
CUST00535,38,Female,78226.3559302794,635,Unemployed,Bachelor's,2042.7824562060125,36,Type_2,Jacksonville,2021-09-03,,0,A,-2.0097333668687174
CUST00919,40,Male,91771.13415919864,634,Retired,Bachelor's,9205.638726176727,12,Unknown,Dallas,2023-05-27,no,0,A,
CUST00596,34,M,60250.89638068409,591,Retired,Bachelor's,13031.065585251165,60,Type_6,San Jose,2021-05-24,,0,A,
CUST00076,39,FEMALE,78912.36661079826,638,Employed,Bachelor's,10236.610948720503,36,Type_10,El Paso,2023-06-29,no,0,A,
CUST00107,40,male,45900.62982557136,521,Retired,Bachelor's,24522.204991590726,60,Type_0,El Paso,2020-10-08,no,0,A,-1.198361546999097
CUST00424,45,Male,23150.122697727915,636,Employed,Bachelor's,3885.014384901864,60,Type_10,Austin,2021-11-14,no,0,A,
CUST00584,40,Female,,581,Employed,Bachelor's,28216.143630705632,24,Type_11,Las Vegas,2021-12-13,yes,0,A,1.2313042635686857
CUST00853,52,M,62240.19114654174,709,Employed,Some College,7582.419916114408,60,Type_0,Houston,2021-11-30,no,0,A,0.10404648103908559
CUST00664,29,Male,28290.599370047745,689,Employed,Bachelor's,32998.49175283296,12,Type_1,Oklahoma City,2021-08-04,no,0,A,
CUST00829,34,Female,73203.92313332768,630,Unemployed,Bachelor's,4358.137607250739,36,Type_1,Las Vegas,2020-01-14,YES,0,A,
CUST00420,62,Male,119428.07868044577,575,Employed,Some College,10457.70828718662,60,Type_6,Nashville,2021-11-12,no,0,A,
